uniref90_cluster	length	percent_identity_to_query	evalue
UniRef90_Q62803	512	55.3	0
UniRef90_K7G385	570	55.3	0
UniRef90_A0AAW0GXL2	488	55.3	0
UniRef90_A0AAU9YT02	509	55.2	0
UniRef90_A0A8C5P4Y2	507	55.1	0
UniRef90_UPI002433A8A7	513	55.0	0
UniRef90_A0A9J7J315	513	55.0	0
UniRef90_A0ABM1AUR2	513	55.0	0
UniRef90_A0A7L3L3R4	488	55.0	0
UniRef90_A0A1S3AA80	506	54.9	0
UniRef90_A0A7K4ZNA2	488	54.9	0
UniRef90_UPI0018E2C060	513	54.8	0
UniRef90_A0A7K8VK96	483	54.8	0
UniRef90_A0A7J7WM94	503	54.7	0
UniRef90_UPI001CFCBF75	619	54.7	0
UniRef90_A0A674IDS3	511	54.7	0
UniRef90_A0ABN9Z7G3	497	54.6	0
UniRef90_UPI003529DD89	570	54.6	0
UniRef90_UPI000FFD7D59	587	54.6	0
UniRef90_A0A7K8TZE9	488	54.6	0
UniRef90_A0A7K9Z0I9	488	54.6	0
UniRef90_A0A226MUH4	510	54.6	0
UniRef90_A0A7K6T7T5	487	54.6	0
UniRef90_A0A7L2J8Z2	488	54.6	0
UniRef90_A0ABM1AUS8	500	54.5	0
UniRef90_A0A8C4YSQ9	521	54.4	0
UniRef90_A0A4D9EWJ7	582	54.4	0
UniRef90_A0A7K7MV73	488	54.3	0
UniRef90_A0A7J8HE24	510	54.2	0
UniRef90_A0A7L2B6M7	488	54.1	0
UniRef90_A0A7K8TAA9	488	54.1	0
UniRef90_M7B642	614	54.0	0
UniRef90_A0A0Q3LX62	620	54.0	0
UniRef90_A0A7K6H442	488	53.9	0
UniRef90_A0A1S3AA20	626	53.4	0
UniRef90_A0A8C4YQI0	507	53.4	0
UniRef90_UPI002110A2FF	469	53.3	0
UniRef90_UPI003EBDC0C0	570	53.1	0
UniRef90_UPI0003315E08	489	53.0	0
UniRef90_A0A3Q0GS29	570	52.9	0
UniRef90_UPI0023F71748	566	52.9	0
UniRef90_A0A8C3NJH7	521	52.7	0
UniRef90_UPI0021101124	497	52.3	0
UniRef90_A0A8C8SQT9	509	52.2	0
UniRef90_A0A8C5X3L8	518	52.0	0
UniRef90_A0A850ZWG7	488	51.8	0
UniRef90_A0A8C0GGY0	507	51.5	0
UniRef90_A0A8B9IMU9	543	51.1	0
UniRef90_A0A8C6YKU1	525	51.2	2e-180
UniRef90_UPI0018906C45	452	53.8	3.8e-180
UniRef90_UPI0024AE5758	488	53.6	9.3e-180
UniRef90_A0A8D0G3J9	520	54.4	9.8e-180
UniRef90_A0A7K7W2N1	487	54.8	1.3e-179
UniRef90_A0A8C8BGD0	590	54.1	1.3e-179
UniRef90_A0A8V0X6B4	572	54.1	1.4e-179
UniRef90_A0A8D0GW58	491	54.4	4.2e-179
UniRef90_A0A8D0L6D2	523	53.8	4.4e-179
UniRef90_U3J868	569	54.1	5.2e-179
UniRef90_A0ABM2W272	495	52.6	1.4e-178
UniRef90_A0A8C3H1B6	476	52.3	1.4e-178
UniRef90_A0A8D0GT49	523	54.1	1.8e-178
UniRef90_A0A8C8UCF3	478	56.0	4.3e-178
UniRef90_A0A8B9FCD3	458	55.8	4.3e-178
UniRef90_A0A7K7UNY0	487	54.3	5.9e-178
UniRef90_A0A8C0C1N7	507	54.3	1.2e-177
UniRef90_A0A8C0INH7	477	53.1	2.7e-176
UniRef90_A0A8C8VQ10	478	53.4	2.8e-176
UniRef90_UPI000523A434	573	54.0	3.1e-176
UniRef90_A0A8C3S1L4	494	54.8	4.9e-176
UniRef90_UPI00293EF0F8	613	53.0	4.7e-175
UniRef90_A0A7K9SIV0	488	53.7	9.3e-175
UniRef90_UPI0024ADC0F4	582	54.2	9.7e-175
UniRef90_A0A8C3H727	484	54.0	4.6e-174
UniRef90_A0A6P8SGD8	595	52.4	6e-174
UniRef90_A0A6P7Z7K7	571	51.8	7.7e-174
UniRef90_A0A8C7A2U0	431	56.7	3.4e-173
UniRef90_UPI00112C07B0	539	52.9	4.3e-173
UniRef90_UPI0004F0DC42	583	52.4	7.4e-172
UniRef90_A0ABQ0EUK4	649	58.9	1.1e-171
UniRef90_A0A663EZF4	522	55.1	2.2e-171
UniRef90_A0ABM1VJJ7	501	59.2	4.4e-171
UniRef90_A0A8C8YNZ8	446	67.7	5.4e-171
UniRef90_A0ACB9V621	405	67.2	7.3e-171
UniRef90_UPI0024AD8B4D	497	50.2	1.4e-168
UniRef90_A0A8C7AAW7	432	60.6	1e-167
UniRef90_UPI003709843C	469	53.0	1.5e-166
UniRef90_UPI0024AD4BBE	499	49.8	8.2e-166
UniRef90_UPI0024AD6E8A	490	52.6	8.5e-166
UniRef90_UPI0024ACB3FF	448	52.0	7.6e-164
UniRef90_A0A087V2W5	396	56.0	2.9e-163
UniRef90_UPI0024AD9BB1	499	49.4	3.1e-163
UniRef90_H3A0D6	502	50.5	4.8e-163
UniRef90_A0A8C0ID30	489	54.5	6.2e-163
UniRef90_A0A7L2SF08	455	51.7	1.1e-162
UniRef90_UPI0024340A3F	549	48.1	1.1e-162
UniRef90_A0A7L4NFZ3	460	51.0	1.3e-162
UniRef90_A0ABM3XS52	364	60.7	1.5e-162
UniRef90_UPI0024338AAC	509	47.1	2.4e-162
UniRef90_UPI002433BCF8	519	48.2	1.9e-161
UniRef90_UPI0024ADC6A0	422	53.7	4.7e-161
UniRef90_UPI0024AD013A	446	51.9	1.5e-160
UniRef90_UPI0037E987AF	489	53.1	3.3e-160
UniRef90_A0A091Q6J5	390	54.7	7.1e-160
UniRef90_UPI0023F6B8D7	405	58.8	1.2e-159
UniRef90_UPI0024AE85DB	414	54.1	1.2e-159
UniRef90_A0A7M4EXK1	401	54.7	6e-159
UniRef90_UPI0024AD5352	446	52.4	9.9e-159
UniRef90_UPI0003D0F044	409	63.1	1.1e-158
UniRef90_UPI002433DBD8	510	44.1	1.1e-158
UniRef90_A0A672TIK0	421	54.7	3.4e-158
UniRef90_UPI0024AC937D	448	50.2	4.3e-158
UniRef90_UPI0024AD27E7	449	50.9	4.4e-158
UniRef90_UPI0024335AFF	513	47.0	7.7e-157
UniRef90_UPI00235A56B1	488	47.9	1.9e-156
UniRef90_A0A663F0T2	434	53.6	4.9e-156
UniRef90_A0A8C3TWE3	448	52.7	5.6e-156
UniRef90_A0ABM3XUJ7	418	61.6	8.1e-156
UniRef90_A0A8C7EIG9	415	59.7	2.1e-155
UniRef90_UPI0021109F25	414	53.5	1.1e-154
UniRef90_A0AAV7SDK6	475	48.4	1.6e-154
UniRef90_A0A8C5X3M4	432	54.7	2.1e-154
UniRef90_UPI002433790C	519	44.5	4.9e-154
UniRef90_A0A8D2QNW5	467	53.4	1.4e-153
UniRef90_A0A851XVJ8	488	49.2	1.4e-153
UniRef90_UPI003081324B	466	49.1	3.9e-153
UniRef90_UPI003F5AC42B	518	49.9	7.7e-153
UniRef90_UPI00235A761C	509	46.1	8.1e-153
UniRef90_A0A8C4UIK6	461	53.3	9.3e-153
UniRef90_UPI0037E94B47	582	49.4	1.1e-152
UniRef90_A0AAD8DCW2	493	48.9	1.4e-152
UniRef90_A0A8C8BA92	489	52.1	2.4e-152
UniRef90_UPI003559460C	517	46.9	3e-152
UniRef90_UPI00202B5DF6	524	50.2	7.6e-152
UniRef90_UPI0024ADACBE	410	53.7	1.1e-151
UniRef90_UPI0024AD6830	434	54.2	2.4e-151
UniRef90_UPI002FE43910	466	49.8	2e-150
